idx,hiragana,katakana,english,hira_prob,kata_prob
0,あ,ア, A,1,1
1, い,イ, I,1,1
2,う,ウ, U,1,1
3, え,エ, E ,1,1
4,お ,オ,O,1,1
5,か,カ,KA,1,1
6,き,キ,KI,1,1
7,く,ク,KU,1,1
8,け,ケ,KE,1,1
9,こ,コ,KO,1,1
10,さ,サ,SA,1,1
11,し,シ,SHI,1,1
12,す,ス,SU,1,1
13,せ,セ,SE,1,1
14,そ,ソ,SO,1,1
15,た,タ,TA,1,1
16,ち,チ,CHI,1,1
17,つ,ツ,TSU,1,1
18,て,テ,TE,1,1
19,と,ト,TO,1,1
20,な,ナ,Na,1,1
21,に,ニ,NI,1,1
22,ぬ,ヌ,NU,1,1
23,ね,ネ,NE,1,1
24,の,ノ,NO,1,1
25,は,ハ,HA,1,1
26,ひ,ヒ,HI,1,1
27,ふ,フ,FU,1,1
28,へ,ヘ,HE,1,1
29,ほ,ホ,HO,1,1
30,ま,マ,MA,1,1
31,み,ミ,MI,1,1
32,む,ム,MU,1,1
33,め,メ,ME,1,1
34,も,モ,MO,1,1
35,や,ヤ,YA,1,1
36,ゆ,ユ,YU,1,1
37,よ,ヨ,YO,1,1
38,ら,ラ,RA,1,1
39,り,リ,RI,1,1
40,る,ル,RU,1,1
41,れ,レ,RE,1,1
42,ろ,ロ,RO,1,1
43,わ,ワ,WA,1,1
44,を,ヲ,WO,1,1
45,ん,ン,n ,1,1
